user_example,intent
tenho dúvida sobre o estado [E11](estadoSalic),oqueeh_estadoSalic
o que é estado [E11](estadoSalic),oqueeh_estadoSalic
onde posso saber mais sobre o estado [E11](estadoSalic),oqueeh_estadoSalic
o que significa [E12](estadoSalic),oqueeh_estadoSalic
tenho dúvida sobre o estado [E12](estadoSalic),oqueeh_estadoSalic
o que é estado [E12](estadoSalic),oqueeh_estadoSalic
onde posso saber mais sobre o estado [E12](estadoSalic),oqueeh_estadoSalic
o que significa [E13](estadoSalic),oqueeh_estadoSalic
tenho dúvida sobre o estado [E13](estadoSalic),oqueeh_estadoSalic
o que é estado [E13](estadoSalic),oqueeh_estadoSalic
onde posso saber mais sobre o estado [E13](estadoSalic),oqueeh_estadoSalic
o que significa [E15](estadoSalic),oqueeh_estadoSalic
tenho dúvida sobre o estado [E15](estadoSalic),oqueeh_estadoSalic
o que é estado [E15](estadoSalic),oqueeh_estadoSalic
onde posso saber mais sobre o estado [E15](estadoSalic),oqueeh_estadoSalic
o que significa [E16](estadoSalic),oqueeh_estadoSalic
tenho dúvida sobre o estado [E16](estadoSalic),oqueeh_estadoSalic
o que é estado [E16](estadoSalic),oqueeh_estadoSalic
onde posso saber mais sobre o estado [E16](estadoSalic),oqueeh_estadoSalic
o que significa [E23](estadoSalic),oqueeh_estadoSalic
tenho dúvida sobre o estado [E23](estadoSalic),oqueeh_estadoSalic
o que é estado [E23](estadoSalic),oqueeh_estadoSalic
onde posso saber mais sobre o estado [E23](estadoSalic),oqueeh_estadoSalic
o que significa [E24](estadoSalic),oqueeh_estadoSalic
tenho dúvida sobre o estado [E24](estadoSalic),oqueeh_estadoSalic
o que é estado [E24](estadoSalic),oqueeh_estadoSalic
onde posso saber mais sobre o estado [E24](estadoSalic),oqueeh_estadoSalic
o que significa [E36](estadoSalic),oqueeh_estadoSalic
tenho dúvida sobre o estado [E36](estadoSalic),oqueeh_estadoSalic
o que é estado [E36](estadoSalic),oqueeh_estadoSalic
onde posso saber mais sobre o estado [E36](estadoSalic),oqueeh_estadoSalic
o que significa [E59](estadoSalic),oqueeh_estadoSalic
tenho dúvida sobre o estado [E59](estadoSalic),oqueeh_estadoSalic
o que é estado [E59](estadoSalic),oqueeh_estadoSalic
onde posso saber mais sobre o estado [E59](estadoSalic),oqueeh_estadoSalic
o que significa [E63](estadoSalic),oqueeh_estadoSalic
tenho dúvida sobre o estado [E63](estadoSalic),oqueeh_estadoSalic
o que é estado [E63](estadoSalic),oqueeh_estadoSalic
onde posso saber mais sobre o estado [E63](estadoSalic),oqueeh_estadoSalic
o que significa [E64](estadoSalic),oqueeh_estadoSalic
tenho dúvida sobre o estado [E64](estadoSalic),oqueeh_estadoSalic
o que é estado [E64](estadoSalic),oqueeh_estadoSalic
onde posso saber mais sobre o estado [E64](estadoSalic),oqueeh_estadoSalic
o que significa [E65](estadoSalic),oqueeh_estadoSalic
tenho dúvida sobre o estado [E65](estadoSalic),oqueeh_estadoSalic
o que é estado [E65](estadoSalic),oqueeh_estadoSalic
onde posso saber mais sobre o estado [E65](estadoSalic),oqueeh_estadoSalic
o que significa [E75](estadoSalic),oqueeh_estadoSalic
tenho dúvida sobre o estado [E75](estadoSalic),oqueeh_estadoSalic
o que é estado [E75](estadoSalic),oqueeh_estadoSalic
onde posso saber mais sobre o estado [E75](estadoSalic),oqueeh_estadoSalic
o que significa [E79](estadoSalic),oqueeh_estadoSalic
tenho dúvida sobre o estado [E79](estadoSalic),oqueeh_estadoSalic
o que é estado [E79](estadoSalic),oqueeh_estadoSalic
onde posso saber mais sobre o estado [E79](estadoSalic),oqueeh_estadoSalic
o que significa [E80](estadoSalic),oqueeh_estadoSalic
tenho dúvida sobre o estado [E80](estadoSalic),oqueeh_estadoSalic
o que é estado [E80](estadoSalic),oqueeh_estadoSalic
onde posso saber mais sobre o estado [E80](estadoSalic),oqueeh_estadoSalic
o que significa [E81](estadoSalic),oqueeh_estadoSalic
tenho dúvida sobre o estado [E81](estadoSalic),oqueeh_estadoSalic
o que é estado [E81](estadoSalic),oqueeh_estadoSalic
onde posso saber mais sobre o estado [E81](estadoSalic),oqueeh_estadoSalic
o que significa [E60](estadoSalic),oqueeh_estadoSalic
tenho dúvida sobre o estado [E60](estadoSalic),oqueeh_estadoSalic
o que é estado [E60](estadoSalic),oqueeh_estadoSalic
onde posso saber mais sobre o estado [E60](estadoSalic),oqueeh_estadoSalic
o que significa [E72](estadoSalic),oqueeh_estadoSalic
tenho dúvida sobre o estado [E72](estadoSalic),oqueeh_estadoSalic
o que é estado [E72](estadoSalic),oqueeh_estadoSalic
onde posso saber mais sobre o estado [E72](estadoSalic),oqueeh_estadoSalic
o que significa [E50](estadoSalic),oqueeh_estadoSalic
tenho dúvida sobre o estado [E50](estadoSalic),oqueeh_estadoSalic
o que é estado [E50](estadoSalic),oqueeh_estadoSalic
onde posso saber mais sobre o estado [E50](estadoSalic),oqueeh_estadoSalic
o que significa [L09](estadoSalic),oqueeh_estadoSalic
tenho dúvida sobre o estado [L09](estadoSalic),oqueeh_estadoSalic
o que é estado [L09](estadoSalic),oqueeh_estadoSalic
onde posso saber mais sobre o estado [L09](estadoSalic),oqueeh_estadoSalic
o que significa [D38](estadoSalic),oqueeh_estadoSalic
tenho dúvida sobre o estado [D38](estadoSalic),oqueeh_estadoSalic
o que é estado [D38](estadoSalic),oqueeh_estadoSalic
onde posso saber mais sobre o estado [D38](estadoSalic),oqueeh_estadoSalic
o que significa [E22](estadoSalic),oqueeh_estadoSalic
tenho dúvida sobre o estado [E22](estadoSalic),oqueeh_estadoSalic
o que é estado [E22](estadoSalic),oqueeh_estadoSalic
onde posso saber mais sobre o estado [E22](estadoSalic),oqueeh_estadoSalic
o que significa [E73](estadoSalic),oqueeh_estadoSalic
tenho dúvida sobre o estado [E73](estadoSalic),oqueeh_estadoSalic
o que é estado [E73](estadoSalic),oqueeh_estadoSalic
onde posso saber mais sobre o estado [E73](estadoSalic),oqueeh_estadoSalic
o que significa [E78](estadoSalic),oqueeh_estadoSalic
tenho dúvida sobre o estado [E78](estadoSalic),oqueeh_estadoSalic
o que é estado [E78](estadoSalic),oqueeh_estadoSalic
onde posso saber mais sobre o estado [E78](estadoSalic),oqueeh_estadoSalic
o que significa [E47](estadoSalic),oqueeh_estadoSalic
tenho dúvida sobre o estado [E47](estadoSalic),oqueeh_estadoSalic
o que é estado [E47](estadoSalic),oqueeh_estadoSalic
onde posso saber mais sobre o estado [E47](estadoSalic),oqueeh_estadoSalic
o que significa [L06](estadoSalic),oqueeh_estadoSalic
tenho dúvida sobre o estado [L06](estadoSalic),oqueeh_estadoSalic
o que é estado [L06](estadoSalic),oqueeh_estadoSalic
onde posso saber mais sobre o estado [L06](estadoSalic),oqueeh_estadoSalic
oque é Rouana,oqueEhSalicRouana
o que significa Rouana,oqueEhSalicRouana
oque é LeiRouanet,oqueEhSalicLeiRouanet
o que significa LeiRouanet,oqueEhSalicLeiRouanet
oque é Minc,oqueEhSalicMinc
o que significa Minc,oqueEhSalicMinc
oque é Sefic,oqueEhSalicSefic
o que significa Sefic,oqueEhSalicSefic
oque é Projeto,oqueEhSalicProjeto
o que significa Projeto,oqueEhSalicProjeto
oque é Proposta,oqueEhSalicProposta
o que significa Proposta,oqueEhSalicProposta
oque é Proponente,oqueEhSalicProponente
o que significa Proponente,oqueEhSalicProponente
oque é Preenchimento,oqueEhSalicPreenchimento
o que significa Preenchimento,oqueEhSalicPreenchimento
oque é Admissibilidade,oqueEhSalicAdmissibilidade
o que significa Admissibilidade,oqueEhSalicAdmissibilidade
oque é Aprovacao,oqueEhSalicAprovacao
o que significa Aprovacao,oqueEhSalicAprovacao
oque é Execucao,oqueEhSalicExecucao
o que significa Execucao,oqueEhSalicExecucao
oque é PrestacaoDeContas,oqueEhSalicPrestacaoDeContas
o que significa PrestacaoDeContas,oqueEhSalicPrestacaoDeContas
oque é SALIC,oqueEhSalic
o que significa Salic,oqueEhSalic
oque é Vinculada,oqueEhSalicVinculada
o que significa Vinculada,oqueEhSalicVinculada
4,escolher_erros_salic
quarta opção,escolher_erros_salic
quarto tópico,escolher_erros_salic
Tenho um erro,escolher_erros_salic
erro no salic,escolher_erros_salic
erro do salic,escolher_erros_salic
errros,escolher_erros_salic
Erros Salic,escolher_erros_salic
erros do salic,escolher_erros_salic
erros salic,escolher_erros_salic
quarta categoria,escolher_erros_salic
opção quatro,escolher_erros_salic
quatro,escolher_erros_salic
falha no salic,escolher_erros_salic
3,escolher_prazo
terceira opção,escolher_prazo
terceiro tópico,escolher_prazo
Data,escolher_prazo
prazo,escolher_prazo
prazos,escolher_prazo
Prazo,escolher_prazo
sobre prazo,escolher_prazo
data,escolher_prazo
sobre data,escolher_prazo
datas,escolher_prazo
prazos e datas,escolher_prazo
sobre prazos e datas,escolher_prazo
datas e prazos,escolher_prazo
escolha 3,escolher_prazo
na 3,escolher_prazo
opção três,escolher_prazo
três,escolher_prazo
categoria 3,escolher_prazo
2,escolher_preenchimento
preenchimento do Salic,escolher_preenchimento
Preenchimento,escolher_preenchimento
de preenchimento,escolher_preenchimento
em preenchimento,escolher_preenchimento
preenchimento,escolher_preenchimento
salic,escolher_preenchimento
segunda opção,escolher_preenchimento
segundo tópico,escolher_preenchimento
tem um erro,escolher_preenchimento
acho que na 2,escolher_preenchimento
opção 2,escolher_preenchimento
na segunda,escolher_preenchimento
categoria 2,escolher_preenchimento
1,escolher_processo
sobre processo,escolher_processo
processo,escolher_processo
Processo,escolher_processo
estado do projeto,escolher_processo
sobre estado,escolher_processo
Estado,escolher_processo
primeira opção,escolher_processo
primeiro tópico,escolher_processo
estado,escolher_processo
processo do projeto,escolher_processo
Estado do projeto,escolher_processo
se encaixa na 1,escolher_processo
um,escolher_processo
opção um,escolher_processo
categoriga um,escolher_processo
